,num_circles,experiment_number,LH,mae_all,rms_all,std_all,mae_experiment,rms_experiment,std_experiment,estimated_ecc,circle_0_index,circle_0_ecc,circle_1_index,circle_1_ecc,max_mocap_ecc
20,2,1,LHA,4.10316144075065,5.018960880907972,2.8903346718367375,4.230668729301793,4.99659242240975,2.658454050494477,0.14082497827092122,2,0.069871447333609,6,0.07027940932299263,0.07027940932299263
21,2,1,LHA,4.808515877252348,5.9722370568823075,3.5420037439012284,5.038084740956936,6.029798858114472,3.313031302637433,0.15126378359484585,2,0.069871447333609,7,0.10659593578976845,0.10659593578976845
22,2,1,LHA,7.683407220170711,8.644994109033682,3.9624710262985716,8.486583740674092,9.52086295621157,4.315637594085938,0.247995308148028,2,0.069871447333609,8,0.12804699152131954,0.12804699152131954
23,2,1,LHA,4.876688950602237,5.654276463886051,2.86159871560109,5.251277061869286,5.998355180684889,2.899026404352801,0.20214819478507146,2,0.069871447333609,9,0.1367361790349284,0.1367361790349284
24,2,1,LHA,17.248515580928416,20.51490269010467,11.106301933539067,19.142476087904143,21.51401255341729,9.819284361531395,0.29350387073145173,3,0.17898851763208623,4,0.06536005514834138,0.17898851763208623
25,2,1,LHA,26.951705956253893,32.12110980850314,17.474874574014688,30.25579670494524,35.38939449112112,18.35745102668719,0.34291384881334275,3,0.17898851763208623,5,0.12923694295775529,0.17898851763208623
26,2,1,LHA,9.586692472821165,11.709594094386015,6.723832336311922,10.552573011923846,12.04839647819711,5.814383933302738,0.2313819546930032,3,0.17898851763208623,6,0.07027940932299263,0.17898851763208623
27,2,1,LHA,15.249460847382666,18.03147914020127,9.622275398659953,17.2644251035224,19.712773428101592,9.514886340494762,0.31970247542408525,3,0.17898851763208623,7,0.10659593578976845,0.17898851763208623
28,2,1,LHA,13.979944016141339,16.212574594566227,8.210282595010247,16.389625281326754,19.203004602114895,10.006776148517604,0.3730970818649154,3,0.17898851763208623,8,0.12804699152131954,0.17898851763208623
29,2,1,LHA,10.339838497296949,12.119313865906099,6.32182793424179,12.074747424154161,14.140007214905483,7.358007792905738,0.3226760459620691,3,0.17898851763208623,9,0.1367361790349284,0.17898851763208623
30,2,1,LHA,41.11296434482694,48.97300303585552,26.609757404585668,46.591021726265446,55.569013990633074,30.28517806442345,0.42907426179826347,4,0.06536005514834138,5,0.12923694295775529,0.12923694295775529
31,2,1,LHA,6.411730513911472,7.860277856728155,4.546831842277379,6.746063608468959,8.565868133565154,5.278704639598405,0.11387138227354728,4,0.06536005514834138,6,0.07027940932299263,0.07027940932299263
32,2,1,LHA,8.019072967815443,9.740665257888036,5.529469088717165,8.888076835262375,10.30689105930723,5.2186294636522765,0.21880783958350636,4,0.06536005514834138,7,0.10659593578976845,0.10659593578976845
33,2,1,LHA,7.440145388396568,8.908903895207985,4.900286237922566,8.72968118733845,10.644809513660292,6.091357480031999,0.17195698063250175,4,0.06536005514834138,8,0.12804699152131954,0.12804699152131954
34,2,1,LHA,4.440769824612744,5.224035487682761,2.7513833141490425,4.702477497129287,5.442561068487698,2.7401051755745836,0.18472766667128554,4,0.06536005514834138,9,0.1367361790349284,0.1367361790349284
35,2,1,LHA,57.97408482202719,66.9547995346224,33.49553208668091,65.91774384381414,76.02254692307523,37.87187197924704,0.5610334137813546,5,0.12923694295775529,6,0.07027940932299263,0.12923694295775529
36,2,1,LHA,26.713338612696358,32.10965677988047,17.81649793548522,31.891872225461753,39.667246785869416,23.588110427202274,0.41615325899724487,5,0.12923694295775529,7,0.10659593578976845,0.12923694295775529
37,2,1,LHA,24.719873653546493,29.850197940178727,16.73206991440534,29.2762642067007,36.82514884092245,22.338127523486556,0.39746133543700124,5,0.12923694295775529,8,0.12804699152131954,0.12923694295775529
38,2,1,LHA,19.09160467334683,22.497125352084844,11.900894088431354,22.57684120395704,27.273490850814436,15.301292247413821,0.3941897014817811,5,0.12923694295775529,9,0.1367361790349284,0.1367361790349284
39,2,1,LHA,5.245605129285226,5.996168777394205,2.9047662271882815,5.667093527837755,6.401695959699726,2.977542964790805,0.21517377333013804,6,0.07027940932299263,7,0.10659593578976845,0.10659593578976845
40,2,1,LHA,9.692890999240161,11.77541328915814,6.686420732150433,11.249416522110105,14.383769914128697,8.963451615012492,0.19737112106882,6,0.07027940932299263,8,0.12804699152131954,0.12804699152131954
41,2,1,LHA,6.7496437737421555,7.769740303533706,3.8485287204254846,7.574793237523745,8.764721582218572,4.409404928397088,0.22133843335764175,6,0.07027940932299263,9,0.1367361790349284,0.1367361790349284
